prob_id,us-east4_avg,us-east1_avg,us-central1_avg,us-west1_avg,northamerica-northeast1_avg
24947,78.868484,89.643002,101.715393,136.023921,89.438857
24944,233.688277,237.282159,210.481177,198.564258,241.796409
21133,50.058856,57.636338,68.116202,105.222454,50.815914
22591,107.217323,118.830574,130.585401,163.870915,113.189183
24940,38.012188,42.938466,57.168408,81.178433,54.183345
6139,208.5233566,223.2822668,191.4333528,152.7696786,214.6858648
22720,9.750148,20.90196,33.181981,72.242984,20.542743
22723,30.922014,41.284509,53.364071,90.951244,33.285227
2213,95.4963646,115.73551125,105.2705492,136.8697624,89.515641
2212,96.381408,117.2237038,117.009432,150.3053104,98.6410182
2217,104.574434,116.8195824,135.2480532,165.3894476,118.4379124
31811,108.294932,118.964234,131.926279,164.221303,116.934966
33177,241.801817,253.74507,266.7752,299.909667,251.274631
31818,97.297037,108.227944,120.339734,154.189111,103.824538
12588,50.812787,61.924945,32.943066,38.710973,57.026441
12762,148.882301,156.535966,168.7655,202.182403,149.502042
12333,120.876605,126.850285,141.925815,177.857179,127.365336
6131,97.8226776,109.066361,120.6855192,161.7938356,103.8792852
11003,123.297794,131.892189,145.987758,179.235132,128.645794
12851,126.244676,139.418008,149.46658,182.18707,132.645044
12765,85.847646,97.120641,109.526713,142.649462,95.967865
12582,127.551685,139.296956,152.406525,184.356679,136.776342
17511,82.52051,93.863306,105.055048,139.821139,92.331938
17510,101.685674,112.672283,124.946529,158.254484,107.440319
17516,80.854469,90.863496,100.535271,134.74147,86.655062
14966,128.8943,141.316779,138.229371,185.208634,137.879267
13469,78.798085,90.2115,101.955158,135.358384,85.055961
4519,284.731142,283.6797496,316.3561596,352.1761474,296.606421
4513,108.1599198,205.5824284,179.4553704,165.9950924,122.4010998
25098,220.50819,223.960865,196.16963,184.917866,231.837674
11649,103.52477,115.120943,129.060491,168.673682,106.661979
32761,116.780998,130.754133,148.273133,181.485862,130.19288
34534,106.277573,117.247816,129.825184,163.206443,113.270191
11643,100.328819,109.946186,138.3106125,162.015092,113.758779
11642,125.759151,117.983549,132.385636,168.710664,119.931166
17775,150.943838,159.83077,173.923844,221.989267,159.685486
18205,96.029102,87.799291,118.221683,138.436878,145.639768
17773,82.972311,99.254215,106.535708,144.580527,89.057341
14783,42.16146,58.95496,47.821185,77.351554,26.732302
20669,98.638619,110.365737,121.747885,155.164954,104.757323
20668,118.868821,129.869205,142.950905,176.612874,126.068456
20662,105.138796,115.81528,128.312158,178.293728,114.405154
20660,280.962975,282.066884,294.39062,331.734845,290.267142
27947,161.197591,176.783221,139.066933,105.529886,173.71156
14671,99.107225,108.882436,121.578208,154.788386,107.462567
21390,86.029703,97.129548,108.892261,143.238177,92.750298
21391,100.975061,113.698594,125.930741,158.095599,110.351297
21393,125.948069,149.528821,149.268284,181.007445,131.845902
20551,128.788979,140.537101,153.062873,185.71863,135.555911
10946,102.56109,114.290467,126.444487,159.966047,109.813944
21398,100.88719,90.983525,104.609463,166.753976,89.200298
20447,28.019991,38.642142,31.308287,64.552554,22.778038
20446,99.540762,110.613953,122.889482,156.477882,106.568246
20444,86.197417,102.604688,108.143441,141.361468,95.636814
20443,79.614823,90.765479,102.971955,136.405071,85.801734
20001,132.200179,131.506169,145.324919,178.688942,126.723974
20913,10.116598,20.679104,29.808815,71.515453,12.747575
20919,149.619434,164.818055,177.598301,211.181562,160.500013
29081,181.168887,170.25053,198.339363,225.595998,195.386214
11842,70.262366,80.459102,40.651293,30.130122,77.213093
33421,110.530761,122.218014,134.14994,167.423144,117.380369
33422,113.392717,118.719366,131.297033,170.4625,114.702802
11914,91.399971,101.749274,113.554671,147.036076,99.854777
33427,154.630169,118.32573,130.936205,163.901322,113.282508
18425,27.566037,37.248002,30.510699,51.881945,41.49903
33428,82.982694,71.536472,99.240797,125.109404,96.866947
18429,85.745113,94.914334,107.085745,140.828736,90.558456
12932,107.758557,113.522421,130.924726,164.838334,113.596368
30191,96.892202,108.267011,120.255858,153.503637,102.830884
14266,82.503293,93.989988,104.835547,139.326409,93.013199
15614,121.275386,133.537174,145.57573,179.236782,128.110568
15615,97.921664,107.614831,120.98727,154.323269,103.081687
12938,61.94458,73.615975,44.488546,13.76562,68.422554
15619,28.03357,37.50983,56.713917,97.244479,36.321586
10204,23.5649,31.593014,45.071296,90.489007,25.631546
33285,182.671821,188.809078,203.728788,245.796105,184.657899
24998,85.059264,93.798724,65.507777,40.891523,89.713399
33821,79.106372,90.538234,102.752903,136.5478,85.3454
