(14391917,62)
(29380215,57)
(21057272,48)
(31634255,43)
(18008623,40)
(69549978,40)
(16137071,40)
(38317785,40)
(38029213,40)
(37980551,40)
(74885326,40)
(14185671,40)
(14615328,40)
(71288166,40)
(71013316,40)
(18317058,40)
(15387839,40)
(23513021,40)
(21975447,40)
(47786224,40)
(31565874,40)
(13134572,40)
(40316096,40)
(30031714,40)
(35643689,40)
(20098206,40)
(28232111,40)
(15709282,40)
(24321605,40)
(27984761,40)
(25955967,40)
(42698622,40)
(15017215,40)
(46895025,40)
(17006396,40)
(46061366,40)
(30115934,40)
(9064032,40)
(16218208,40)
(14328083,40)
(28675289,40)
(842291,40)
(46817420,40)
(19751480,40)
(67416411,40)
(69706891,40)
(71006248,40)
(29913149,40)
(55218049,40)
(38452587,40)
(15819292,40)
(25974004,40)
(37153044,40)
(14529963,40)
(32576777,40)
(73180419,40)
(10168942,40)
(62680205,40)
(24187243,40)
(21931670,40)
(20353613,40)
(35691932,40)
(22069152,40)
(25546214,40)
(62622443,40)
(22474910,40)
(19046392,40)
(14262772,40)
(12002212,40)
(19237927,40)
(19753036,40)
(69316495,40)
(55667750,40)
(22330519,40)
(23795635,40)
(17938976,40)
(52950631,40)
(16452333,40)
(15305347,40)
(20059279,40)
(25442631,40)
(28017403,40)
(17597485,40)
(37876312,40)
(26177528,40)
(19254838,40)
(20196046,40)
(41569607,40)
(23803265,40)
(59232549,40)
(35543599,40)
(27463408,40)
(54082260,40)
(28668761,40)
(16207826,40)
(15672036,40)
(18640595,40)
(45457618,40)
(12237152,40)
(25944664,40)
(66405948,40)
(42304354,40)
(65264189,40)
(23898963,40)
(14370819,40)
(14076329,40)
(14193133,40)
(15080813,40)
(22828139,40)
(14149937,40)
(17627344,40)
(58696552,40)
(30553375,40)
(16751105,40)
(16319801,40)
(48166717,40)
(66224716,40)
(17401708,40)
(46135750,40)
(12811572,40)
(17586386,40)
(15185566,40)
(22446867,40)
(57532530,40)
(52576027,40)
(9046942,40)
(9256422,40)
(66933884,40)
(18894768,40)
(19689815,40)
(21777511,40)
(19563237,40)
(30552652,40)
(53266479,40)
(35207473,40)
(14365987,40)
(40528625,40)
(42300737,40)
(34994650,40)
(61317171,40)
(20539531,40)
(42285201,40)
(40424485,40)
(19962819,40)
(26180577,40)
(18812453,40)
(10162772,40)
(19131269,40)
(12146352,40)
(21800358,40)
(43793782,40)
(16642973,38)
(16350349,38)
(15635758,38)
(22959589,38)
(21422438,38)
(59814196,38)
(57764156,38)
(25688663,36)
(33103487,36)
(18790067,36)
(69947217,36)
(23314049,36)
(56900729,36)
(23714164,36)
(38773605,36)
(16882866,36)
(64736112,36)
(23376171,36)
(16608612,36)
(14416404,36)
(42516095,34)
(55635786,34)
(8292752,34)
(14652452,34)
(38609821,34)
(20084059,34)
(18731877,34)
(20961788,34)
(17918663,32)
(27476172,32)
(23468465,32)
(24251450,32)
(24001163,32)
(23006082,32)
(36988797,32)
(19508361,30)
(26961480,30)
(42930407,30)
(15972180,30)
(17552077,30)
(18071933,30)
(15654267,30)
(36808585,28)
(44464186,28)
(27091370,28)
(39035301,28)
(18603472,28)
(14846698,28)
(21920573,28)
(10335262,27)
(37456691,26)
(26164868,26)
(26582257,26)
(44835115,25)
(22258340,24)
(18183641,24)
(22117405,24)
(64266672,24)
(16555297,24)
(14977670,24)
(59701520,24)
(16662566,24)
(18941347,24)
(20190311,24)
(14741886,24)
(68785654,24)
(15657528,24)
(43111462,24)
(71281850,22)
(44557997,22)
(25629019,22)
(52613032,22)
(18338831,22)
(20216863,22)
(29205041,22)
(66613910,20)
(36206534,20)
(16049087,20)
(66714783,20)
(33449408,20)
(14129677,20)
(21625491,20)
(64266980,20)
(16328263,20)
(75292339,20)
(7382632,20)
(18567853,20)
(18743743,20)
(23178508,20)
(52706200,20)
(75698452,20)
(23641850,20)
(23920327,20)
(23363025,20)
(5475492,20)
(26883806,20)
(6942722,20)
(47543155,20)
(64344824,20)
(31051626,20)
(15698351,20)
(59144069,20)
(24307112,20)
(18948268,20)
(66476955,20)
(68477330,20)
(23440723,20)
(20574927,20)
(4050431,20)
(40963525,20)
(68460337,20)
(11114042,20)
(22413731,20)
(14354068,20)
(19794518,20)
(21170409,20)
(25088613,20)
(27816413,20)
(64339645,20)
(33599368,20)
(33905926,20)
(19570757,20)
(57428677,20)
(32172594,20)
(16878824,20)
(36191345,20)
(75620731,20)
(14719225,20)
(24424027,20)
(15170390,20)
(19417071,20)
(21347019,20)
(19050849,20)
(65940735,20)
(26710546,20)
(62972646,20)
(21988702,20)
(17824709,20)
(14577939,20)
(14424667,20)
(17429457,20)
(22725732,20)
(28428816,20)
(22861584,20)
(48092743,20)
(16166382,20)
(22048233,20)
(20787963,20)
(15666545,20)
(15578929,20)
(17326793,20)
(28282638,20)
(34704238,20)
(74649406,20)
(29122721,20)
(20012340,20)
(15759202,20)
(55918983,20)
(25012922,20)
(17958263,20)
(60954282,20)
(15309999,20)
(21782457,20)
(22057949,20)
(15386145,20)
(29655202,20)
(5979722,20)
(21971131,20)
(46908882,20)
(14689557,20)
(36523997,20)
(66611339,20)
(21628069,20)
(20965126,20)
(51983451,20)
(71433083,20)
(35174637,20)
(19263724,20)
(21810908,20)
(34182484,20)
(15642702,20)
(16636071,20)
(3100031,20)
(50752335,20)
(23102744,20)
(66613035,20)
(14818333,20)
(21436506,20)
(54522879,20)
(19887325,20)
(21668321,20)
(58336541,20)
(66611952,20)
(33820388,20)
(62392956,20)
(24251088,20)
(45747659,20)
(11922222,20)
(23168818,20)
(20089700,20)
(67381074,20)
(45966787,20)
(70988552,20)
(7959792,20)
(26364725,20)
(33946296,20)
(18780266,20)
(17869819,20)
(31149395,20)
(19692605,20)
(29830817,20)
(18472970,20)
(20167862,20)
(16933383,20)
(74473493,20)
(14585409,20)
(18067420,20)
(16696247,20)
(48895600,20)
(35095584,20)
(30164653,20)
(25839619,20)
(15225244,20)
(43731390,20)
(57771348,20)
(41980207,20)
(5446022,20)
(56359149,20)
(18008196,20)
(39532391,20)
(19911852,20)
(66479325,20)
(64338912,20)
(17907003,20)
(54959447,20)
(51775666,20)
(26948597,20)
(24212955,20)
(60960404,20)
(23885944,20)
(74648748,20)
(50013917,20)
(17203566,20)
(41665249,20)
(9352982,20)
(38721958,20)
(30247686,20)
(29603471,20)
(34601665,20)
(71350796,20)
(63329349,20)
(17797998,20)
(806697,20)
(46444802,20)
(28442215,20)
(66612455,20)
(17826801,20)
(19671779,20)
(35678294,20)
(23034315,20)
(25354915,20)
(60957628,20)
(19418395,20)
(18775305,20)
(23517078,20)
(36443602,20)
(20694265,20)
(16504049,20)
(54970824,20)
(56321197,20)
(64958990,20)
(38979655,20)
(68304584,20)
(16488893,20)
(14305575,20)
(56429937,20)
(24851868,20)
(26150664,20)
(23695028,20)
(73200201,20)
(24862949,20)
